id_airbnb;name;host_id;host_name;neighbourhood_group;neighbourhood;latitude;longitude;room_type;price;minimum_nights;availability_365
336869;Direct to Plaza Mayor!;1713524;Oliver;Centro;Sol;4.041.593;-370.602;Private room;87;2;0
337292;Principe de Vergara. Homey Room;1714866;Francisco;Chamartín;Ciudad Jardín;4.044.663;-367.625;Private room;35;2;0
339144;COZY APARTMENT MADRID MALASAÑA;1721158;Pau&Patricia;Centro;Universidad;4.042.838;-370.345;Entire home/apt;64;3;258
339171;PRADO MUSEUM AIR & OnSiteParking (*);1722284;Cesar;Centro;Cortes;4.041.285;-369.553;Entire home/apt;82;3;304
339813;Room in Madrid Center good ambient;1713273;Antonio;Centro;Cortes;4.041.204;-36.975;Entire home/apt;80;2;364
341939;Self-catering Apartment in Madrid;1694537;Miguel Angel & Iaia;Centro;Embajadores;4.041.037;-370.018;Entire home/apt;55;30;289
342095;Lovely apartment CENTRAL MADRID !;1703448;Elena;Centro;Embajadores;4.041.015;-369.797;Entire home/apt;79;5;363
342557;Berlin's Park at your window. Parking included.;1738288;Jose Angel;Chamartín;Ciudad Jardín;4.045.005;-367.569;Private room;70;2;343
345195;DUPLO Heart of Madrid%Malasaña;1095831;Rosalind  & Tino;Centro;Universidad;4.042.365;-370.536;Entire home/apt;89;3;0
345230;GOYA apartment.Heart of Madrid;1095831;Rosalind  & Tino;Centro;Universidad;4.042.531;-370.597;Private room;77;3;89
345233;MIRO apartment.Heart of Madrid;1095831;Rosalind  & Tino;Centro;Universidad;4.042.504;-3.704;Private room;77;3;89
345249;CASTELLANA CASTELLANA DELUXE FINANCIAL DISTRICT;1751133;The Punset Family;Tetuán;Almenara;4.047.148;-368.946;Entire home/apt;166;2;325
347510;Classy Central Family Alcalá Deluxe;1751133;The Punset Family;Salamanca;Fuente del Berro;4.042.881;-366.605;Entire home/apt;223;2;356
354838;Entire apartment Plaza de España!;1496188;Juanpe;Centro;Universidad;404.249;-37.097;Entire home/apt;70;20;0
363476;PUERTA DEL SOL-QUIET DOWNTOWN;1836617;Bibiana;Centro;Sol;4.041.676;-370.682;Private room;44;2;358
375472;Host family in the center of Madrid;1888816;Margarita;Arganzuela;Acacias;4.040.334;-370.254;Private room;19;6;16
376379;Great Studio for Rent in Madrid;1892467;Laura;Centro;Embajadores;4.041.115;-369.673;Entire home/apt;42;1;258
377151;private house in elegant neiborhood;1895571;Lola;Salamanca;Fuente del Berro;4.042.163;-366.249;Private room;30;1;0
391795;Quiet room in a terraced house;1958516;Almu Y Santi;Puente de Vallecas;Entrevías;4.037.733;-367.441;Private room;35;2;365
406697;Lovely & Cozy Apartment Center;1973909;Jose Y Ana;Centro;Cortes;4.041.401;-370.004;Entire home/apt;56;2;0
410699;80m2 spacious bright loft apartment;2044655;Sylvia;Centro;Sol;4.041.737;-370.015;Entire home/apt;140;2;193
415967;LAVAPIES CLASSY (CENTER TOWN);2068619;Alfonso;Centro;Embajadores;4.040.827;-370.049;Entire home/apt;58;2;150
416705;Quiet room in a two level house;1958516;Almu Y Santi;Puente de Vallecas;Entrevías;40.379;-367.423;Private room;30;2;351
420039;Bonito estudio en pleno centro;9934732;Fernando Javier;Centro;Universidad;4.042.738;-370.635;Entire home/apt;57;1;244
423655;Tribunal Apartment;1719263;Leticia;Centro;Justicia;4.042.719;-370.142;Entire home/apt;100;5;269
429306;Vintage and Scandi Chic at an Historic Central Madrid Home;2134007;Lola;Chamberí;Arapiles;4.043.028;-370.732;Entire home/apt;103;3;264
429604;sol-atocha II study;2106353;Reyes;Centro;Cortes;404.135;-370.145;Entire home/apt;65;2;306
431806;CHARMING SUITE IN MADRID'S LEDGE;2146727;Carlos;Moncloa - Aravaca;Casa de Campo;4.042.827;-372.226;Private room;30;15;322
435010;Cute penthouse room in Madrid!!!;2160658;;Centro;Palacio;4.041.275;-370.862;Private room;25;2;351
439715;Chueca Secret Apartment;2184106;Pedro;Centro;Justicia;4.042.224;-369.776;Entire home/apt;100;2;365
440596;Quiet Central Apartment with WiFi;1280726;Mallory;Chamberí;Trafalgar;4.043.015;-369.864;Entire home/apt;30;3;0
442986;madrid center chueca house wiffi;2201302;Cesar;Centro;Justicia;4.042.389;-36.977;Entire home/apt;96;2;363
444113;Pretty room;2206218;Tomas;Latina;Lucero;4.040.182;-375.334;Private room;25;1;365
456165;Nice room in Madrid;617086;Agata;Carabanchel;Comillas;4.039.032;-371.382;Private room;30;2;0
460898;Wide and nice apartment in Madrid;2290984;Artur;Fuencarral - El Pardo;La Paz;4.048.503;-369.858;Private room;15;30;362
462072;Spectacular Penthouse 95 m² Latina;2296476;Jose Manuel;Centro;Palacio;4.040.869;-371.073;Entire home/apt;121;2;196
467552;DESIGN PENTHOUSE ALONSO MARTINEZ!;2320165;Fernando;Chamberí;Almagro;4.042.859;-369.521;Entire home/apt;72;2;158
468202;BEST STUDIO IN VERY CENTER MADRID FIBRE OPTIC WIFI;2322563;Julio And Sarah;Centro;Universidad;4.042.123;-370.133;Entire home/apt;25;30;316
473112;LUXURY DUPLEX CENTER A/A-WIFI;2346162;Carlos;Centro;Justicia;4.042.349;-370.024;Entire home/apt;74;12;152
479718;Wanda Stadium. Madrid. 20 minutes from Sol by tube;2376402;Jesús;San Blas - Canillejas;Rosas;4.043.202;-360.353;Private room;76;3;363
491070;NICE APT IN THE HEART OF MADRID !!!;2427722;Ignacio;Centro;Universidad;4.042.885;-370.479;Entire home/apt;70;180;364
492221;CENTRICO EN EL BARRIO DE LA LATINA;2433045;Manuel;Centro;Palacio;4.041.322;-370.949;Entire home/apt;69;2;227
493238;ElRastro-Plaza Mayor. Air cond-WIFI;2436735;Gemma;Centro;Embajadores;4.040.655;-370.629;Entire home/apt;54;4;289
497706;Peaceful apartment in Madrid Centre;2456671;José & María;Retiro;Jerónimos;4.040.808;-368.338;Entire home/apt;60;1;260
499911;2 bedroom apartment downtown Madrid;2467212;Joël;Centro;Embajadores;4.041.234;-370.186;Entire home/apt;97;4;258
502918;Cozy room in penthouse in Madrid's heart;2480913;Elvira;Centro;Cortes;4.041.155;-369.492;Private room;48;3;0
506956;Precioso  apartamento  céntrico  en Madrid;1932547;Nieves;Ciudad Lineal;Concepción;4.044.117;-364.841;Entire home/apt;68;1;138
507614;Malasaña: Amazing&extremely central 2BD flat;2501740;Moises&Cristina + Little Sophie&Eli;Centro;Universidad;4.042.323;-370.434;Entire home/apt;84;30;364
510973;Habitación céntrica a 1 min de Plza Santa Ana;2517520;Ruben;Centro;Cortes;4.041.412;-370.057;Private room;46;2;365
515008;BIG BED & VERY NICE ROOM YELLOW.;2536524;Marina;San Blas - Canillejas;Arcos;4.042.297;-361.193;Private room;17;10;319
515339;Cozy & central flat 35 m2 next to ROYAL PALACE;2538187;Pe;Centro;Palacio;404.127;-37.126;Entire home/apt;65;3;0
518208;BIG BED & VERY NICE ORANGE ROOM.;2536524;Marina;San Blas - Canillejas;Arcos;4.042.756;-361.577;Private room;21;10;349
521329;Nice&perfect location singel room;2563986;Elena;Chamartín;Hispanoamérica;4.045.591;-368.773;Private room;20;7;364
521367;Penthouse with terrace in SOL;2564339;Alfonso & Guillermo;Centro;Sol;404.154;-370.255;Entire home/apt;75;3;99
522563;Beautiful loft in downtown Madrid;1652272;Xuan;Centro;Palacio;4.041.152;-370.991;Entire home/apt;76;2;179
524003;NEXT TO PLAZA MAYOR STATELY BUILDNG;2576044;Angel;Centro;Embajadores;4.041.327;-370.223;Private room;65;2;365
526162;Single room in shared flat. Central;2249249;David;Retiro;Pacífico;404.057;-367.605;Private room;19;2;0
526513;Sol.  Your home in Madrid´s Heart;1134989;Óscar;Centro;Sol;4.041.604;-370.834;Entire home/apt;42;2;169
529690;Architect's sunny La Latina retreat;1020814;;Centro;Palacio;4.041.004;-371.233;Entire home/apt;100;2;328
531677;Bright room in the Gran Via!!!!;2613319;David;Centro;Universidad;4.042.286;-370.236;Private room;34;2;179
536574;Junior Rent;447969;Javier;Arganzuela;Delicias;4.039.317;-369.358;Entire home/apt;70;3;0
537234;Single Naranja en casa de artista;2638528;Miguel;Arganzuela;Palos de Moguer;4.040.108;-369.113;Private room;25;1;0
540937;MELROSEPIES apartment  A/C City Centre Free WIFI;2659070;Ana;Centro;Embajadores;4.040.954;-370.096;Entire home/apt;55;1;174
541406;Enjoy madrid with all your family;2661721;Tony;Ciudad Lineal;Costillares;4.046.905;-366.637;Entire home/apt;300;5;0
544736;SUNNY & EASY ACCESIBLE BEDROOM;1284868;Rocio;Chamartín;Hispanoamérica;4.045.841;-367.598;Private room;21;2;311
545174;MADRID - MONCLOA;2680319;Paula;Chamberí;Gaztambide;4.043.474;-371.233;Entire home/apt;40;1;0
